YEAR,MO,DY,ALLSKY_SFC_UV_INDEX,ALLSKY_SFC_SW_DWN,WS2M,CLRSKY_SFC_SW_DWN,T2M,T2M_MAX,T2M_MIN,RH2M,PRECTOTCORR,PS,CLRSKY_SFC_PAR_TOT,WS10M_MAX,WS10M_MIN,ALLSKY_KT,T2M_RANGE,WS10M,TS
2015,5,18,1.09,2.91,1.88,4.79,18.01,22.8,14.54,84.57,1.49,92.29,2.18,4.65,1.53,0.41,8.26,2.77,18.5
2015,5,19,0.92,2.55,1.84,4.66,17.91,22.57,15.39,84.47,1.23,92.18,2.11,4.04,1.62,0.36,7.18,2.73,18.28
2015,5,20,1.03,2.94,2.05,4.8,18.13,23.59,13.99,80.07,0.06,92.2,2.2,4.89,1.66,0.42,9.6,3.07,18.68
2015,5,21,1.06,3.26,2.38,4.75,18.86,24.59,14.16,78.65,0.0,92.35,2.17,5.26,1.6,0.47,10.43,3.51,19.43
2015,5,22,1.15,3.79,2.07,4.86,18.37,24.52,13.43,77.56,0.0,92.37,2.21,4.78,2.07,0.55,11.09,3.13,18.88
2015,5,23,1.18,3.69,1.43,4.77,18.07,23.62,13.22,79.17,0.0,92.2,2.16,3.66,0.72,0.54,10.4,2.14,18.47
2015,5,24,1.43,4.78,1.42,4.93,19.88,26.71,13.36,74.31,0.01,91.95,2.23,3.3,0.3,0.7,13.35,2.23,19.77
2015,5,25,1.39,4.79,0.97,4.86,20.96,28.23,14.48,70.31,0.02,91.93,2.22,2.23,0.33,0.7,13.75,1.58,20.73
2015,5,26,1.41,4.75,1.44,4.76,20.64,28.13,14.4,69.63,0.19,91.93,2.18,3.19,1.52,0.7,13.73,2.43,20.88
2015,5,27,1.38,4.73,1.87,4.76,19.38,26.64,14.02,73.43,0.17,91.88,2.15,4.45,1.6,0.7,12.62,2.82,19.65
2015,5,28,1.22,3.86,2.29,4.72,19.69,26.5,14.18,73.6,0.31,91.73,2.17,5.4,1.41,0.57,12.32,3.32,19.72
2015,5,29,1.07,3.19,1.87,4.77,17.13,23.56,12.98,77.55,2.39,91.67,2.15,5.34,1.06,0.48,10.58,2.9,17.76
2015,5,30,1.22,3.88,1.48,4.74,17.41,24.75,10.9,69.93,0.24,91.83,2.1,4.29,0.67,0.58,13.85,2.25,17.28
2015,5,31,0.77,1.95,1.93,4.48,19.5,26.47,13.95,69.83,3.07,91.95,2.04,6.03,1.18,0.29,12.52,2.92,19.04
2015,6,1,0.9,2.6,1.2,4.3,20.21,26.0,15.67,76.06,2.0,92.04,1.94,4.55,0.18,0.39,10.33,1.75,20.18
2015,6,2,0.77,2.04,1.95,4.21,18.24,23.07,14.82,84.54,6.05,92.1,1.88,4.53,1.26,0.31,8.25,2.88,18.61
2015,6,3,0.84,2.66,1.93,4.25,16.89,20.23,14.52,88.49,0.54,92.18,1.89,3.81,1.53,0.4,5.71,2.89,17.18
2015,6,4,0.82,2.47,1.31,4.73,18.49,25.04,12.56,74.74,0.0,92.32,2.12,2.63,0.57,0.37,12.48,1.91,18.54
2015,6,5,1.29,4.48,1.59,4.74,17.88,25.09,11.39,74.74,0.05,92.29,2.11,3.05,1.35,0.68,13.7,2.47,18.12
2015,6,6,1.16,3.8,1.94,4.64,18.62,25.23,13.4,79.52,0.01,92.13,2.09,4.8,0.41,0.58,11.83,2.86,18.87
2015,6,7,1.33,4.65,1.51,4.7,18.68,25.45,12.1,76.62,0.03,92.18,2.12,3.9,0.82,0.71,13.35,2.32,18.58
2015,6,8,1.31,4.62,1.41,4.76,18.84,25.97,12.79,72.82,0.0,92.08,2.11,2.62,1.76,0.71,13.18,2.25,18.58
2015,6,9,1.36,4.7,1.23,4.76,18.5,25.47,12.53,68.69,0.01,92.01,2.1,2.72,0.55,0.72,12.94,1.86,17.86
2015,6,10,1.28,4.24,1.46,4.72,18.76,25.61,12.63,67.32,0.01,92.0,2.11,3.96,0.72,0.65,12.98,2.18,18.0
2015,6,11,1.3,4.67,1.55,4.69,18.77,26.83,13.01,67.7,0.0,91.92,2.11,3.64,0.64,0.72,13.82,2.52,18.48
2015,6,12,1.28,4.31,1.08,4.52,19.15,26.93,13.01,72.74,0.02,91.91,2.06,2.71,0.5,0.67,13.92,1.86,19.34
2015,6,13,1.26,4.58,2.25,4.6,19.24,26.71,13.09,71.41,0.01,91.83,2.07,6.36,1.03,0.71,13.62,3.51,18.95
2015,6,14,1.3,4.41,2.78,4.59,19.49,27.12,12.31,71.86,0.01,91.66,2.08,7.55,2.45,0.68,14.81,4.34,19.53
